"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.949484341E0	2.626643181E-1	-5.803048983E-2	-1.039662004E0
1.957887361E0	2.619007528E-1	-2.596100792E-3	-1.216349602E0
1.966290382E0	2.696890533E-1	7.146912813E-2	-1.368450522E0
1.974693403E0	2.686200738E-1	1.392731816E-1	-1.478555799E0
1.983096424E0	2.545706034E-1	1.589729935E-1	-1.528187156E0
1.991499445E0	2.334963679E-1	1.345391124E-1	-1.539945960E0
1.999902466E0	2.185306102E-1	9.804098308E-2	-1.541167617E0
2.008305486E0	2.104368806E-1	6.230641901E-2	-1.545443535E0
2.016708507E0	2.125748396E-1	2.947338112E-2	-1.554300904E0
2.025111528E0	2.070772201E-1	1.068982668E-2	-1.567892194E0
2.033514549E0	2.005106062E-1	2.107422985E-2	-1.574458838E0
2.041917570E0	2.070772201E-1	-2.061609551E-2	-1.538724303E0
2.050320591E0	1.823379099E-1	-1.029277667E-1	-1.508181930E0
2.058723611E0	1.511846930E-1	-1.447708011E-1	-1.510930657E0
2.067126632E0	1.278197914E-1	-2.447970361E-1	-1.502073407E0
2.075529653E0	9.300149232E-2	-4.422534108E-1	-1.463131905E0
2.083932674E0	6.673506647E-2	-6.306998134E-1	-1.411973476E0
2.092335695E0	4.810422286E-2	-7.661551833E-1	-1.350277901E0
2.100738716E0	1.435491070E-2	-8.609892130E-1	-1.266286373E0
2.109141736E0	-3.634541109E-2	-9.251281619E-1	-1.178171635E0
2.117544757E0	-8.567132801E-2	-9.866710305E-1	-1.080741525E0
2.125947778E0	-8.842013776E-2	-1.030346632E0	-9.917105436E-1
2.134350799E0	-7.559234649E-2	-1.041647315E0	-9.303203821E-1
2.142753820E0	-6.474980712E-2	-1.116170645E0	-8.455653191E-1
2.151156841E0	-5.024218559E-2	-1.309351087E0	-6.905628443E-1
2.159559861E0	-6.536065787E-2	-1.519329786E0	-4.456130862E-1
2.167962882E0	-3.863608837E-2	-1.761225343E0	-7.956285775E-2
2.176365903E0	-1.068982761E-3	-2.026180267E0	3.958290219E-1
2.184768924E0	-5.848862603E-2	-2.203936815E0	8.985562921E-1
2.193171945E0	-2.489202619E-1	-1.896833420E0	1.140146375E0
2.201574966E0	-4.352286756E-1	-7.658497691E-1	9.097042680E-1
2.209977986E0	-4.943281412E-1	8.996253014E-1	3.633013964E-1
2.218381007E0	-3.581092060E-1	2.320914268E0	-2.078407854E-1
2.226784028E0	-1.007898003E-1	2.879686594E0	-5.091412067E-1
2.235187049E0	1.006370857E-1	2.594115496E0	-3.544441164E-1
2.243590070E0	6.856760383E-2	1.703042150E0	2.073826492E-1
2.251993091E0	-1.536280811E-1	5.853443742E-1	7.498149872E-1
2.260396111E0	-2.814478874E-1	-4.075878263E-1	9.717052579E-1
2.268799132E0	-2.976353168E-1	-1.118155956E0	9.715525508E-1
2.277202153E0	-2.838912606E-1	-1.397007704E0	8.941276670E-1
2.285605174E0	-2.794626355E-1	-1.131289124E0	7.953231335E-1
